
seat_id,match_day,tier,zone,seat_number,status
S001,15/05/2026,TierB,A,A1,AVAILABLE
S002,15/05/2026,TierB,A,A2,AVAILABLE
S003,15/05/2026,TierB,B,B1,AVAILABLE
S004,15/05/2026,TierB,B,B2,AVAILABLE
S005,15/05/2026,TierA,C,C1,AVAILABLE
S006,15/05/2026,TierA,C,C2,AVAILABLE
S007,15/05/2026,TierS,G,G1,AVAILABLE
S008,15/05/2026,TierS,G,G2,AVAILABLE

S009,16/05/2026,TierB,A,A1,AVAILABLE
S010,16/05/2026,TierA,D,D1,AVAILABLE
S011,16/05/2026,TierS,J,J1,AVAILABLE

S012,17/05/2026,TierB,E,E1,AVAILABLE
S013,17/05/2026,TierA,F,F1,AVAILABLE
S014,17/05/2026,TierS,N,N1,AVAILABLE
